# tile	case	family	fn	col	op	valid	bnd	nonman	nmvert	chi	genus	comp	wantcomp	v	e	f	folds	warn	corners	class	tier	want_class	verdict_flags	tol	runs	distinct	secs	bin	camera
AC01-R1-C1	AC01	crease	stock	1	original	VALID	0	0	0	2	0	1	1	14	36	24	0	0		-		flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
AC01-R1-C2	AC01	crease	stock	2	fillet	VALID	0	0	0	2	0	1	1	23	63	42	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=2 fan=0 weld=1 none=0	flat	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
AC01-R1-C3	AC01	crease	stock	3	chamfer	VALID	0	0	0	2	0	1	1	22	60	40	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=2 weld=1 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
AC01-R2-C1	AC01	crease	8	1	original	VALID	0	0	0	2	0	1	1	14	36	24	0	0		-		flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
AC01-R2-C2	AC01	crease	8	2	fillet	VALID	0	0	0	2	0	1	1	23	63	42	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=2 fan=0 weld=1 none=0	flat	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
AC01-R2-C3	AC01	crease	8	3	chamfer	VALID	0	0	0	2	0	1	1	22	60	40	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=2 weld=1 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
AC01-R3-C1	AC01	crease	19	1	original	VALID	0	0	0	2	0	1	1	14	36	24	0	0		-		flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
AC01-R3-C2	AC01	crease	19	2	fillet	VALID	0	0	0	2	0	1	1	32	90	60	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=2 fan=0 weld=1 none=0	flat	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
AC01-R3-C3	AC01	crease	19	3	chamfer	VALID	0	0	0	2	0	1	1	22	60	40	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=2 weld=1 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
AC01-R4-C1	AC01	crease	32	1	original	VALID	0	0	0	2	0	1	1	14	36	24	0	0		-		flat	OK	1e-6	1	1	0.10	9de6d8c0	22.432,35.877,26.914,6,6,6
