# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
elbow_oblique75	def	0.5	VALID	0	2	0	1	758	2268	1512	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_oblique75	def	0.8	VALID	0	2	0	1	497	1485	990	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	def	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_oblique75	def	0.8	VALID	0	2	0	1	497	1485	990	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_oblique75	def	0.9	VALID	0	2	0	1	454	1356	904	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	8	def	VALID	0	2	0	1	228	678	452	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_oblique75	def	0.9	VALID	0	2	0	1	454	1356	904	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_oblique75	def	1.0	VALID	0	2	0	1	418	1248	832	0	1e-6	3	1	yes	3	7f23ab80	0	-	1
tee	10	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_oblique75	def	1.0	VALID	0	2	0	1	418	1248	832	0	1e-6	3	1	yes	3	7d06c030	0	-	1
elbow_oblique75	def	1.5	VALID	0	2	0	1	283	843	562	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	12	def	VALID	0	2	0	1	260	774	516	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_oblique75	def	1.5	VALID	0	2	0	1	283	843	562	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_oblique75	def	2.0	VALID	0	2	0	1	238	708	472	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_oblique75	def	2.0	VALID	0	2	0	1	238	708	472	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_rot30	def	def	VALID	0	2	0	1	239	711	474	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_rot30	def	def	VALID	0	2	0	1	239	711	474	0	1e-6	3	1	yes	4	7d06c030	0	-	1
tee	19	def	VALID	0	2	0	1	676	2022	1348	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_rot30	def	0.2	VALID	0	2	0	1	991	2967	1978	0	1e-6	3	1	yes	3	7f23ab80	0	-	1
elbow_rot30	def	0.2	VALID	0	2	0	1	991	2967	1978	0	1e-6	3	1	yes	4	7d06c030	0	-	1
tee	24	def	VALID	0	2	0	1	640	1914	1276	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_rot30	def	0.3	VALID	0	2	0	1	691	2067	1378	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
elbow_rot30	def	0.3	VALID	0	2	0	1	691	2067	1378	0	1e-6	3	1	yes	3	7d06c030	0	-	1
elbow_rot30	def	0.5	VALID	0	2	0	1	431	1287	858	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	26	def	VALID	0	2	0	1	784	2346	1564	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_rot30	def	0.5	VALID	0	2	0	1	431	1287	858	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_rot30	def	0.8	VALID	0	2	0	1	284	846	564	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	32	def	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_rot30	def	0.8	VALID	0	2	0	1	284	846	564	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_rot30	def	0.9	VALID	0	2	0	1	260	774	516	0	1e-6	3	1	yes	3	7f23ab80	0	-	1
tee	48	def	VALID	0	2	0	1	1950	5844	3896	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_rot30	def	0.9	VALID	0	2	0	1	260	774	516	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_rot30	def	1.0	VALID	0	2	0	1	239	711	474	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	64	def	VALID	0	2	0	1	3366	10092	6728	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_rot30	def	1.0	VALID	0	2	0	1	239	711	474	0	1e-6	3	1	yes	3	7d06c030	0	-	1
elbow_rot30	def	1.5	VALID	0	2	0	1	17	45	30	1	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	def	0.2	VALID	0	2	0	1	576	1722	1148	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_rot30	def	1.5	VALID	0	2	0	1	17	45	30	1	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_rot30	def	2.0	VALID	0	2	0	1	155	459	306	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
tee	def	0.3	VALID	0	2	0	1	392	1170	780	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_rot30	def	2.0	VALID	0	2	0	1	155	459	306	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_thin_arm	def	def	VALID	0	2	0	1	219	651	434	0	1e-6	3	1	yes	3	7f23ab80	0	-	1
tee	def	0.5	VALID	0	2	0	1	220	654	436	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_thin_arm	def	def	VALID	0	2	0	1	219	651	434	0	1e-6	3	1	yes	3	7d06c030	0	-	1
tee	def	0.8	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_thin_arm	def	0.2	ERROR								0	1e-6	3	2	yes	4	7f23ab80		-	1
elbow_thin_arm	def	0.2	VALID	0	2	0	1	1779	5331	3554	0	1e-6	3	1	yes	4	7d06c030	0	-	1
tee	def	0.9	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_thin_arm	def	0.3	VALID	0	2	0	1	1185	3549	2366	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
elbow_thin_arm	def	0.3	VALID	0	2	0	1	1185	3549	2366	0	1e-6	3	1	yes	4	7d06c030	0	-	1
tee	def	1.0	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_thin_arm	def	0.5	VALID	0	2	0	1	729	2181	1454	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
elbow_thin_arm	def	0.5	VALID	0	2	0	1	729	2181	1454	0	1e-6	3	1	yes	4	7d06c030	0	-	1
tee	def	1.5	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_thin_arm	def	0.8	VALID	0	2	0	1	483	1443	962	0	1e-6	3	1	yes	3	7f23ab80	0	-	1
elbow_thin_arm	def	0.8	VALID	0	2	0	1	483	1443	962	0	1e-6	3	1	yes	3	7d06c030	0	-	1
tee	def	2.0	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_thin_arm	def	0.9	VALID	0	2	0	1	441	1317	878	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
elbow_thin_arm	def	0.9	VALID	0	2	0	1	441	1317	878	0	1e-6	3	1	yes	4	7d06c030	0	-	1
tee_oblique	def	def	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_thin_arm	def	1.0	VALID	0	2	0	1	399	1191	794	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
elbow_thin_arm	def	1.0	VALID	0	2	0	1	399	1191	794	0	1e-6	3	1	yes	4	7d06c030	0	-	1
elbow_thin_arm	def	1.5	VALID	0	2	0	1	84	246	164	0	1e-6	3	1	yes	3	7f23ab80	0	-	1
tee_oblique	8	def	VALID	0	2	0	1	228	678	452	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_thin_arm	def	1.5	VALID	0	2	0	1	84	246	164	0	1e-6	3	1	yes	4	7d06c030	0	-	1
tee_oblique	10	def	VALID	0	2	0	1	206	612	408	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_thin_arm	def	2.0	VALID	0	2	0	1	219	651	434	0	1e-6	3	1	yes	4	7f23ab80	0	-	1
elbow_thin_arm	def	2.0	VALID	0	2	0	1	219	651	434	0	1e-6	3	1	yes	3	7d06c030	0	-	1
tee_oblique	12	def	VALID	0	2	0	1	251	747	498	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_oblique	16	def	VALID	0	2	0	1	316	942	628	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	19	def	VALID	0	2	0	1	738	2208	1472	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	24	def	VALID	0	2	0	1	652	1950	1300	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_oblique	26	def	VALID	0	2	0	1	784	2346	1564	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	32	def	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	48	def	VALID	0	2	0	1	1948	5838	3892	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	64	def	VALID	0	2	0	1	3366	10092	6728	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	def	0.2	VALID	0	2	0	1	548	1638	1092	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_oblique	def	0.3	VALID	0	2	0	1	372	1110	740	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	def	0.5	VALID	0	2	0	1	214	636	424	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	def	0.8	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_oblique	def	0.9	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	def	1.0	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_oblique	def	1.5	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_oblique	def	2.0	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	def	def	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	8	def	VALID	0	2	0	1	228	678	452	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_small	10	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	12	def	VALID	0	2	0	1	260	774	516	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_small	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	19	def	VALID	0	2	0	1	676	2022	1348	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	24	def	VALID	0	2	0	1	640	1914	1276	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_small	26	def	VALID	0	2	0	1	784	2346	1564	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	32	def	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	48	def	VALID	0	2	0	1	1950	5844	3896	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	64	def	VALID	0	2	0	1	3366	10092	6728	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	def	0.2	VALID	0	2	0	1	368	1098	732	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_small	def	0.3	VALID	0	2	0	1	254	756	504	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	def	0.5	VALID	0	2	0	1	152	450	300	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	def	0.8	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_small	def	0.9	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	def	1.0	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_small	def	1.5	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_small	def	2.0	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	def	def	VALID	0	2	0	1	464	1386	924	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	8	def	VALID	0	2	0	1	300	894	596	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_large	10	def	VALID	0	2	0	1	350	1044	696	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	12	def	VALID	0	2	0	1	240	714	476	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_large	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	19	def	VALID	0	2	0	1	676	2022	1348	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	24	def	VALID	0	2	0	1	640	1914	1276	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_large	26	def	VALID	0	2	0	1	784	2346	1564	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	32	def	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	48	def	VALID	0	2	0	1	1950	5844	3896	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	64	def	VALID	0	2	0	1	3366	10092	6728	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	def	0.2	VALID	0	2	0	1	2026	6072	4048	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	def	0.3	VALID	0	2	0	1	1366	4092	2728	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_large	def	0.5	VALID	0	2	0	1	1012	3030	2020	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	def	0.8	VALID	0	2	0	1	682	2040	1360	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	def	0.9	VALID	0	2	0	1	682	2040	1360	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	def	1.0	VALID	0	2	0	1	682	2040	1360	0	1e-6	3	1	yes	3	591ee703	0	-	1
tee_large	def	1.5	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	591ee703	0	-	1
tee_large	def	2.0	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	def	def	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	3	591ee703	0	-	1
cross	8	def	VALID	0	2	0	1	612	1830	1220	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	10	def	VALID	0	2	0	1	708	2118	1412	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	12	def	VALID	0	2	0	1	692	2070	1380	0	1e-6	3	1	yes	3	591ee703	0	-	1
cross	14	def	VALID	0	2	0	1	820	2454	1636	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	16	def	VALID	0	2	0	1	780	2334	1556	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	19	def	VALID	0	2	0	1	1362	4080	2720	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	24	def	VALID	0	2	0	1	1652	4950	3300	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	26	def	VALID	0	2	0	1	2368	7098	4732	0	1e-6	3	1	yes	3	591ee703	0	-	1
cross	32	def	VALID	0	2	0	1	2844	8526	5684	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	48	def	VALID	0	2	0	1	5748	17238	11492	0	1e-6	3	1	yes	5	591ee703	0	-	1
cross	64	def	VALID	0	2	0	1	10812	32430	21620	0	1e-6	3	1	yes	5	591ee703	0	-	1
cross	def	0.2	VALID	0	2	0	1	1635	4899	3266	0	1e-6	3	1	yes	3	591ee703	0	-	1
cross	def	0.3	VALID	0	2	0	1	1128	3378	2252	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	def	0.5	VALID	0	2	0	1	705	2109	1406	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	def	0.8	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	def	0.9	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	3	591ee703	0	-	1
cross	def	1.0	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	def	1.5	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	4	591ee703	0	-	1
cross	def	2.0	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	4	591ee703	0	-	1
lbracket	def	def	VALID	0	2	0	1	239	711	474	0	1e-6	3	1	yes	3	591ee703	0	-	1
lbracket	def	0.2	VALID	0	2	0	1	1933	5793	3862	0	1e-6	3	1	yes	4	591ee703	0	-	1
lbracket	def	0.3	VALID	0	2	0	1	1294	3876	2584	0	1e-6	3	1	yes	4	591ee703	0	-	1
lbracket	def	0.5	VALID	0	2	0	1	778	2328	1552	0	1e-6	3	1	yes	4	591ee703	0	-	1
lbracket	def	0.8	VALID	0	2	0	1	520	1554	1036	0	1e-6	3	1	yes	3	591ee703	0	-	1
lbracket	def	0.9	VALID	0	2	0	1	476	1422	948	0	1e-6	3	1	yes	4	591ee703	0	-	1
lbracket	def	1.0	VALID	0	2	0	1	431	1287	858	0	1e-6	3	1	yes	4	591ee703	0	-	1
lbracket	def	1.5	VALID	0	2	0	1	284	846	564	0	1e-6	3	1	yes	3	591ee703	0	-	1
