# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
tee	def	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee	8	def	VALID	0	2	0	1	264	786	524	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	10	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	12	def	VALID	0	2	0	1	230	684	456	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	19	def	VALID	0	2	0	1	676	2022	1348	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee	24	def	VALID	0	2	0	1	686	2052	1368	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	26	def	VALID	0	2	0	1	840	2514	1676	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	32	def	VALID	0	2	0	1	1140	3414	2276	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	48	def	VALID	0	2	0	1	1962	5880	3920	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee	64	def	VALID	0	2	0	1	3386	10152	6768	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	def	0.2	VALID	0	2	0	1	606	1812	1208	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	def	0.3	VALID	0	2	0	1	414	1236	824	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	def	0.5	VALID	0	2	0	1	234	696	464	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee	def	0.8	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	def	0.9	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	def	1.0	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee	def	1.5	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee	def	2.0	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_oblique	def	def	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	8	def	VALID	0	2	0	1	264	786	524	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	10	def	VALID	0	2	0	1	206	612	408	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	12	def	VALID	0	2	0	1	217	645	430	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_oblique	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	16	def	VALID	0	2	0	1	316	942	628	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	19	def	VALID	0	2	0	1	738	2208	1472	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_oblique	24	def	VALID	0	2	0	1	676	2022	1348	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	26	def	VALID	0	2	0	1	840	2514	1676	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	32	def	VALID	0	2	0	1	1140	3414	2276	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	48	def	VALID	0	2	0	1	1962	5880	3920	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_oblique	64	def	VALID	0	2	0	1	3386	10152	6768	0	1e-6	3	1	yes	5	74b783ef	0	-	1
tee_oblique	def	0.2	VALID	0	2	0	1	564	1686	1124	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_oblique	def	0.3	VALID	0	2	0	1	384	1146	764	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	def	0.5	VALID	0	2	0	1	222	660	440	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	def	0.8	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_oblique	def	0.9	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	def	1.0	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_oblique	def	1.5	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_oblique	def	2.0	VALID	0	2	0	1	192	570	380	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	def	def	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	8	def	VALID	0	2	0	1	264	786	524	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_small	10	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	12	def	VALID	0	2	0	1	230	684	456	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_small	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	19	def	VALID	0	2	0	1	676	2022	1348	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	24	def	VALID	0	2	0	1	686	2052	1368	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_small	26	def	VALID	0	2	0	1	840	2514	1676	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	32	def	VALID	0	2	0	1	1140	3414	2276	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	48	def	VALID	0	2	0	1	1962	5880	3920	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	64	def	VALID	0	2	0	1	3386	10152	6768	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	def	0.2	VALID	0	2	0	1	368	1098	732	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_small	def	0.3	VALID	0	2	0	1	254	756	504	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	def	0.5	VALID	0	2	0	1	152	450	300	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	def	0.8	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_small	def	0.9	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	def	1.0	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_small	def	1.5	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_small	def	2.0	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	def	def	VALID	0	2	0	1	488	1458	972	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	8	def	VALID	0	2	0	1	336	1002	668	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_large	10	def	VALID	0	2	0	1	350	1044	696	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	12	def	VALID	0	2	0	1	240	714	476	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_large	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	19	def	VALID	0	2	0	1	676	2022	1348	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	24	def	VALID	0	2	0	1	686	2052	1368	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	26	def	VALID	0	2	0	1	840	2514	1676	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_large	32	def	VALID	0	2	0	1	1140	3414	2276	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	48	def	VALID	0	2	0	1	1962	5880	3920	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	64	def	VALID	0	2	0	1	3386	10152	6768	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	def	0.2	VALID	0	2	0	1	2210	6624	4416	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	def	0.3	VALID	0	2	0	1	1478	4428	2952	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	def	0.5	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_large	def	0.8	VALID	0	2	0	1	722	2160	1440	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	def	0.9	VALID	0	2	0	1	722	2160	1440	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	def	1.0	VALID	0	2	0	1	722	2160	1440	0	1e-6	3	1	yes	4	74b783ef	0	-	1
tee_large	def	1.5	VALID	0	2	0	1	368	1098	732	0	1e-6	3	1	yes	3	74b783ef	0	-	1
tee_large	def	2.0	VALID	0	2	0	1	368	1098	732	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	def	def	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	8	def	VALID	0	2	0	1	732	2190	1460	0	1e-6	3	1	yes	3	74b783ef	0	-	1
cross	10	def	VALID	0	2	0	1	572	1710	1140	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	12	def	VALID	0	2	0	1	692	2070	1380	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	14	def	VALID	0	2	0	1	820	2454	1636	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	16	def	VALID	0	2	0	1	780	2334	1556	0	1e-6	3	1	yes	3	74b783ef	0	-	1
cross	19	def	VALID	0	2	0	1	1362	4080	2720	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	24	def	VALID	0	2	0	1	1652	4950	3300	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	26	def	VALID	0	2	0	1	2368	7098	4732	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	32	def	VALID	0	2	0	1	2844	8526	5684	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	48	def	VALID	0	2	0	1	5748	17238	11492	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	64	def	VALID	0	2	0	1	10812	32430	21620	0	1e-6	3	1	yes	5	74b783ef	0	-	1
cross	def	0.2	VALID	0	2	0	1	1635	4899	3266	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	def	0.3	VALID	0	2	0	1	1128	3378	2252	0	1e-6	3	1	yes	3	74b783ef	0	-	1
cross	def	0.5	VALID	0	2	0	1	705	2109	1406	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	def	0.8	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	def	0.9	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	def	1.0	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	3	74b783ef	0	-	1
cross	def	1.5	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	4	74b783ef	0	-	1
cross	def	2.0	VALID	0	2	0	1	645	1929	1286	0	1e-6	3	1	yes	4	74b783ef	0	-	1
two_bosses	def	def	VALID	0	2	0	1	504	1506	1004	0	1e-6	3	1	yes	4	74b783ef	0	-	1
two_bosses	8	def	VALID	0	2	0	1	572	1710	1140	0	1e-6	3	1	yes	3	74b783ef	0	-	1
two_bosses	10	def	VALID	0	2	0	1	480	1434	956	0	1e-6	3	1	yes	4	74b783ef	0	-	1
two_bosses	12	def	VALID	0	2	0	1	512	1530	1020	0	1e-6	3	1	yes	4	74b783ef	0	-	1
