# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
tee	def	def	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee	8	def	VALID	0	2	0	1	80	234	156	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	10	def	VALID	0	2	0	1	134	396	264	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee	12	def	VALID	0	2	0	1	156	462	308	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	14	def	VALID	0	2	0	1	228	678	452	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	16	def	VALID	0	2	0	1	256	762	508	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee	19	def	VALID	0	2	0	1	374	1116	744	2	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	24	def	VALID	0	2	0	1	528	1578	1052	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	26	def	VALID	0	2	0	1	654	1956	1304	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	32	def	VALID	0	2	0	1	896	2682	1788	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee	48	def	VALID	0	2	0	1	1920	5754	3836	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	64	def	VALID	0	2	0	1	3328	9978	6652	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	def	0.2	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	def	0.3	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	def	0.5	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee	def	0.8	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	def	0.9	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	def	1.0	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee	def	1.5	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee	def	2.0	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_oblique	def	def	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	8	def	VALID	0	2	0	1	80	234	156	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	10	def	VALID	0	2	0	1	134	396	264	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_oblique	12	def	VALID	0	2	0	1	156	462	308	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	14	def	VALID	0	2	0	1	228	678	452	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	16	def	VALID	0	2	0	1	256	762	508	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_oblique	19	def	VALID	0	2	0	1	374	1116	744	2	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	24	def	VALID	0	2	0	1	528	1578	1052	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	26	def	VALID	0	2	0	1	654	1956	1304	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	32	def	VALID	0	2	0	1	896	2682	1788	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_oblique	48	def	VALID	0	2	0	1	1920	5754	3836	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	64	def	VALID	0	2	0	1	3328	9978	6652	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	def	0.2	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	def	0.3	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_oblique	def	0.5	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	def	0.8	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	def	0.9	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_oblique	def	1.0	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	def	1.5	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_oblique	def	2.0	VALID	0	2	0	1	160	474	316	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_small	def	def	VALID	0	2	0	1	104	306	204	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	8	def	VALID	0	2	0	1	80	234	156	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	10	def	VALID	0	2	0	1	134	396	264	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_small	12	def	VALID	0	2	0	1	156	462	308	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	14	def	VALID	0	2	0	1	228	678	452	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_small	16	def	VALID	0	2	0	1	256	762	508	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	19	def	VALID	0	2	0	1	374	1116	744	2	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	24	def	VALID	0	2	0	1	528	1578	1052	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_small	26	def	VALID	0	2	0	1	654	1956	1304	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	32	def	VALID	0	2	0	1	896	2682	1788	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	48	def	VALID	0	2	0	1	1920	5754	3836	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	64	def	VALID	0	2	0	1	3328	9978	6652	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	def	0.2	VALID	0	2	0	1	104	306	204	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_small	def	0.3	VALID	0	2	0	1	104	306	204	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	def	0.5	VALID	0	2	0	1	104	306	204	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	def	0.8	VALID	0	2	0	1	104	306	204	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_small	def	0.9	VALID	0	2	0	1	104	306	204	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	def	1.0	VALID	0	2	0	1	104	306	204	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_small	def	1.5	VALID	0	2	0	1	104	306	204	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_small	def	2.0	VALID	0	2	0	1	104	306	204	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	def	def	VALID	0	2	0	1	394	1176	784	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	8	def	VALID	0	2	0	1	80	234	156	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_large	10	def	VALID	0	2	0	1	134	396	264	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	12	def	VALID	0	2	0	1	156	462	308	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	14	def	VALID	0	2	0	1	228	678	452	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_large	16	def	VALID	0	2	0	1	256	762	508	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	19	def	VALID	0	2	0	1	374	1116	744	2	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_large	24	def	VALID	0	2	0	1	528	1578	1052	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	26	def	VALID	0	2	0	1	654	1956	1304	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	32	def	VALID	0	2	0	1	896	2682	1788	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	48	def	VALID	0	2	0	1	1920	5754	3836	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	64	def	VALID	0	2	0	1	3328	9978	6652	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	def	0.2	VALID	0	2	0	1	304	906	604	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_large	def	0.3	VALID	0	2	0	1	304	906	604	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	def	0.5	VALID	0	2	0	1	304	906	604	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	def	0.8	VALID	0	2	0	1	304	906	604	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_large	def	0.9	VALID	0	2	0	1	304	906	604	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	def	1.0	VALID	0	2	0	1	304	906	604	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
tee_large	def	1.5	VALID	0	2	0	1	304	906	604	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
tee_large	def	2.0	VALID	0	2	0	1	304	906	604	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	def	def	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	8	def	VALID	0	2	0	1	164	486	324	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
cross	10	def	VALID	0	2	0	1	288	858	572	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	12	def	VALID	0	2	0	1	332	990	660	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	14	def	VALID	0	2	0	1	484	1446	964	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
cross	16	def	VALID	0	2	0	1	524	1566	1044	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	19	def	VALID	0	2	0	1	777	2325	1550	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	24	def	VALID	0	2	0	1	1076	3222	2148	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	26	def	VALID	0	2	0	1	1360	4074	2716	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
cross	32	def	VALID	0	2	0	1	1820	5454	3636	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	48	def	VALID	0	2	0	1	3884	11646	7764	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	64	def	VALID	0	2	0	1	6716	20142	13428	1	1e-6	3	1	yes	8	f6d06ecb	0	-	1
cross	def	0.2	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
cross	def	0.3	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	def	0.5	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	def	0.8	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	def	0.9	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
cross	def	1.0	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	def	1.5	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	def	2.0	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	def	def	VALID	0	2	0	1	474	1416	944	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
boss_plate	8	def	INVALID	8	6	n/a	1	288	862	580	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	10	def	VALID	0	2	0	1	568	1698	1132	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	12	def	VALID	0	2	0	1	440	1314	876	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	14	def	VALID	0	2	0	1	813	2433	1622	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
boss_plate	16	def	VALID	0	2	0	1	664	1986	1324	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	19	def	VALID	0	2	0	1	1232	3690	2460	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	24	def	VALID	0	2	0	1	1041	3117	2078	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	26	def	VALID	0	2	0	1	1760	5274	3516	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
boss_plate	32	def	VALID	0	2	0	1	1512	4530	3020	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	48	def	VALID	0	2	0	1	2748	8238	5492	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	64	def	VALID	0	2	0	1	4362	13080	8720	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	def	0.2	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
