# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
tee	def	def	VALID	0	2	0	1	224	666	444	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee	8	def	VALID	0	2	0	1	220	654	436	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	10	def	VALID	0	2	0	1	313	933	622	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	12	def	VALID	0	2	0	1	322	960	640	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee	14	def	VALID	0	2	0	1	296	882	588	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	16	def	VALID	0	2	0	1	332	990	660	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	19	def	VALID	0	2	0	1	543	1623	1082	2	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee	24	def	VALID	0	2	0	1	656	1962	1308	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	26	def	VALID	0	2	0	1	821	2457	1638	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	32	def	VALID	0	2	0	1	1096	3282	2188	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	48	def	VALID	0	2	0	1	2358	7068	4712	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee	64	def	VALID	0	2	0	1	3944	11826	7884	1	1e-6	3	1	yes	5	fd3dec78	0	-	1
tee	def	0.2	VALID	0	2	0	1	224	666	444	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	def	0.3	VALID	0	2	0	1	224	666	444	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee	def	0.5	INVALID	0	4	n/a	3	232	684	456	0	1e-6	3	1	yes	4	fd3dec78	2	-	1
tee	def	0.8	VALID	0	2	0	1	224	666	444	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	def	0.9	INVALID	0	3	n/a	2	227	672	448	0	1e-6	3	1	yes	3	fd3dec78	1	-	1
tee	def	1.0	VALID	0	2	0	1	224	666	444	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	def	1.5	VALID	0	2	0	1	224	666	444	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee	def	2.0	VALID	0	2	0	1	226	672	448	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	def	def	VALID	0	2	0	1	234	696	464	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_oblique	8	def	VALID	0	2	0	1	270	804	536	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	10	def	VALID	0	2	0	1	283	843	562	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	12	def	VALID	0	2	0	1	312	930	620	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_oblique	14	def	VALID	0	2	0	1	328	978	652	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	16	def	VALID	0	2	0	1	337	1005	670	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	19	def	VALID	0	2	0	1	536	1602	1068	2	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	24	def	VALID	0	2	0	1	681	2037	1358	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_oblique	26	def	VALID	0	2	0	1	807	2415	1610	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	32	def	VALID	0	2	0	1	1112	3330	2220	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	48	def	VALID	0	2	0	1	2300	6894	4596	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	64	def	VALID	0	2	0	1	3958	11868	7912	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	def	0.2	INVALID	0	3	n/a	2	221	654	436	1	1e-6	3	1	yes	4	fd3dec78	1	-	1
tee_oblique	def	0.3	INVALID	0	3	n/a	2	222	657	438	1	1e-6	3	1	yes	3	fd3dec78	1	-	1
tee_oblique	def	0.5	VALID	0	2	0	1	221	657	438	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	def	0.8	INVALID	0	3	n/a	2	222	657	438	1	1e-6	3	1	yes	4	fd3dec78	1	-	1
tee_oblique	def	0.9	VALID	0	2	0	1	221	657	438	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_oblique	def	1.0	VALID	0	2	0	1	234	696	464	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_oblique	def	1.5	VALID	0	2	0	1	218	648	432	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_oblique	def	2.0	VALID	0	2	0	1	158	468	312	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_small	def	def	INVALID	0	4	0	2	215	633	422	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	8	def	VALID	0	2	0	1	218	648	432	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_small	10	def	INVALID	0	4	0	2	313	927	618	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	12	def	VALID	0	2	0	1	326	972	648	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	14	def	VALID	0	2	0	1	296	882	588	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	16	def	VALID	0	2	0	1	332	990	660	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_small	19	def	VALID	0	2	0	1	544	1626	1084	2	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	24	def	VALID	0	2	0	1	662	1980	1320	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	26	def	VALID	0	2	0	1	815	2439	1626	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_small	32	def	VALID	0	2	0	1	1092	3270	2180	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	48	def	VALID	0	2	0	1	2360	7074	4716	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	64	def	VALID	0	2	0	1	3944	11826	7884	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	def	0.2	VALID	0	2	0	1	210	624	416	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	def	0.3	VALID	0	2	0	1	211	627	418	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	def	0.5	VALID	0	2	0	1	210	624	416	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_small	def	0.8	VALID	0	2	0	1	211	627	418	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	def	0.9	VALID	0	2	0	1	210	624	416	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	def	1.0	VALID	0	2	0	1	210	624	416	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_small	def	1.5	INVALID	0	4	0	2	193	567	378	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_small	def	2.0	VALID	0	2	0	1	98	288	192	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	def	def	VALID	0	2	0	1	530	1584	1056	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_large	8	def	VALID	0	2	0	1	218	648	432	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	10	def	VALID	0	2	0	1	276	822	548	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	12	def	VALID	0	2	0	1	250	744	496	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_large	14	def	VALID	0	2	0	1	301	897	598	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	16	def	VALID	0	2	0	1	332	990	660	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	19	def	VALID	0	2	0	1	545	1629	1086	2	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_large	24	def	VALID	0	2	0	1	656	1962	1308	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	26	def	VALID	0	2	0	1	495	1479	986	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	32	def	VALID	0	2	0	1	1092	3270	2180	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	48	def	VALID	0	2	0	1	2360	7074	4716	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_large	64	def	VALID	0	2	0	1	3952	11850	7900	1	1e-6	3	1	yes	5	fd3dec78	0	-	1
tee_large	def	0.2	VALID	0	2	0	1	433	1293	862	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_large	def	0.3	VALID	0	2	0	1	429	1281	854	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	def	0.5	VALID	0	2	0	1	428	1278	852	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	def	0.8	VALID	0	2	0	1	433	1293	862	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_large	def	0.9	VALID	0	2	0	1	428	1278	852	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	def	1.0	VALID	0	2	0	1	430	1284	856	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
tee_large	def	1.5	VALID	0	2	0	1	428	1278	852	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
tee_large	def	2.0	VALID	0	2	0	1	441	1317	878	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	def	def	VALID	0	2	0	1	1239	3711	2474	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	8	def	VALID	0	2	0	1	931	2787	1858	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	10	def	VALID	0	2	0	1	1526	4572	3048	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	12	def	VALID	0	2	0	1	1533	4593	3062	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
cross	14	def	VALID	0	2	0	1	1234	3696	2464	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	16	def	VALID	0	2	0	1	1020	3054	2036	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	19	def	VALID	0	2	0	1	2082	6240	4160	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	24	def	VALID	0	2	0	1	1940	5814	3876	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	26	def	VALID	0	2	0	1	2890	8664	5776	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	32	def	VALID	0	2	0	1	3396	10182	6788	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	48	def	VALID	0	2	0	1	6764	20286	13524	0	1e-6	3	1	yes	7	fd3dec78	0	-	1
cross	64	def	VALID	0	2	0	1	11028	33078	22052	0	1e-6	3	1	yes	8	fd3dec78	0	-	1
cross	def	0.2	VALID	0	2	0	1	1538	4608	3072	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	def	0.3	INVALID	1	3	n/a	1	1519	4550	3034	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	def	0.5	VALID	0	2	0	1	1447	4335	2890	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	def	0.8	VALID	0	2	0	1	1354	4056	2704	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
cross	def	0.9	INVALID	0	4	0	2	1346	4026	2684	1	1e-6	3	1	yes	3	fd3dec78	0	-	1
cross	def	1.0	VALID	0	2	0	1	1276	3822	2548	1	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	def	def	VALID	0	2	0	1	474	1416	944	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	8	def	INVALID	8	6	n/a	1	288	862	580	0	1e-6	3	1	yes	4	fd3dec78	0	-	1
boss_plate	10	def	VALID	0	2	0	1	568	1698	1132	0	1e-6	3	1	yes	3	fd3dec78	0	-	1
