model	r	corners	blend	refused	warn	mesh	folds
c1_thin_wall	1/2	tube=2 capTri=10 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=182 none=0	none	built	0	VALID v=626 e=1872 f=1248 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c1_thin_wall	3/4	tube=2 capTri=10 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=120 none=0	none	built	0	VALID v=440 e=1314 f=876 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c1_thin_wall	1	tube=0 capTri=10 cap=0 coons=0 saddle=1 flat=0 fan=1 weld=3 none=0	none	built	0	VALID v=77 e=225 f=150 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c1_thin_wall	5/4	tube=2 capTri=10 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=69 none=0	none	built	0	VALID v=287 e=855 f=570 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	5
c1_thin_wall	3/2	tube=2 capTri=10 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=57 none=0	none	built	0	VALID v=251 e=747 f=498 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	5
c1_thin_wall	2	tube=2 capTri=10 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=39 none=0	none	built	0	VALID v=194 e=576 f=384 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	4
c2_parallel_creases	1	tube=8 capTri=16 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=126 none=0	none	built	0	VALID v=554 e=1656 f=1104 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c2_parallel_creases	3/2	tube=8 capTri=16 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=78 none=0	none	built	0	VALID v=410 e=1224 f=816 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c2_parallel_creases	2	tube=0 capTri=16 cap=0 coons=0 saddle=4 flat=0 fan=4 weld=0 none=0	none	built	0	VALID v=150 e=444 f=296 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c2_parallel_creases	5/2	tube=0 capTri=16 cap=0 coons=0 saddle=4 flat=0 fan=4 weld=40 none=0	none	built	0	VALID v=272 e=810 f=540 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	2
